ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
0,132.00,68.91,12.96,0.8825,0.6168
1,229.00,116.99,17.08,0.9097,0.5902
2,29.00,23.31,6.08,0.9327,0.9062
3,16.00,14.49,4.51,0.8101,1.0000
4,16.00,14.49,4.51,0.8101,1.0000
5,63.00,37.70,8.96,0.9451,0.7875
6,78.00,44.32,9.97,0.7695,0.7358
7,19.00,16.49,4.92,0.9459,0.9048
8,17.00,17.90,4.65,0.9568,0.8095
9,13.00,11.31,4.07,0.0000,1.0000
10,18.00,14.14,4.79,0.7071,1.0000
11,26.00,17.56,5.75,0.7642,0.9630
12,100.00,59.50,11.28,0.9169,0.6757
13,13.00,11.31,4.07,0.0000,1.0000
14,138.00,62.57,13.26,0.9062,0.7459
15,129.00,63.15,12.82,0.8618,0.6825
16,13.00,11.31,4.07,0.0000,1.0000
17,13.00,11.31,4.07,0.0000,1.0000
18,13.00,11.31,4.07,0.0000,1.0000
19,21.00,14.73,5.17,0.5216,1.0000
20,18.00,13.31,4.79,0.3974,1.0000
21,13.00,11.31,4.07,0.0000,1.0000
22,39.00,28.46,7.05,0.9303,0.6842
23,13.00,11.31,4.07,0.0000,1.0000
24,40.00,23.80,7.14,0.8651,0.9302
25,46.00,30.28,7.65,0.9272,0.8679
26,29.00,18.97,6.08,0.6010,0.9667
27,21.00,14.73,5.17,0.5216,1.0000
28,13.00,11.31,4.07,0.0000,1.0000
29,13.00,11.31,4.07,0.0000,1.0000
30,39.00,22.38,7.05,0.8391,0.9750
31,13.00,11.31,4.07,0.0000,1.0000
32,18.00,14.14,4.79,0.7071,1.0000
33,25.00,19.80,5.64,0.8876,0.7576
34,13.00,11.31,4.07,0.0000,1.0000
35,15.00,13.07,4.37,0.7712,1.0000
37,34.00,21.80,6.58,0.7975,0.9444
38,13.00,11.31,4.07,0.0000,1.0000
39,38.00,25.46,6.96,0.9449,1.0000
40,13.00,11.31,4.07,0.0000,1.0000
41,29.00,19.80,6.08,0.8848,0.8286
42,18.00,14.14,4.79,0.7071,1.0000
43,13.00,11.31,4.07,0.0000,1.0000
44,68.00,38.53,9.30,0.9525,0.8293
45,13.00,11.31,4.07,0.0000,1.0000
46,18.00,13.31,4.79,0.3974,1.0000
47,13.00,11.31,4.07,0.0000,1.0000
48,26.00,19.80,5.75,0.7866,0.8966
49,13.00,11.31,4.07,0.0000,1.0000
50,138.00,63.40,13.26,0.9367,0.6900
51,13.00,11.31,4.07,0.0000,1.0000
52,28.00,18.97,5.97,0.8343,0.9655
53,23.00,16.97,5.41,0.8367,1.0000
