ID,Area_px2,Area_um2,Perimetro_px,Diametro_px,Diametro_um,Eccentricity,Solidity
0,310.00,8.146629,160.28,19.8672,3.220654,0.8136,0.4620
1,21.00,0.551868,16.07,5.1709,0.838249,0.6218,0.9130
2,152.00,3.994476,71.57,13.9116,2.255200,0.9157,0.6552
4,55.00,1.445370,38.87,8.3683,1.356577,0.9612,0.6627
5,158.00,4.152153,87.71,14.1835,2.299279,0.9726,0.5448
8,20.00,0.525589,16.14,5.0463,0.818047,0.6237,0.9091
9,62.00,1.629326,41.28,8.8849,1.440320,0.9586,0.6458
11,29.00,0.762104,25.38,6.0765,0.985059,0.9583,0.6905
12,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
13,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
14,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
17,12.00,0.315353,10.49,3.9088,0.633656,0.5563,1.0000
19,18.00,0.473030,13.49,4.7873,0.776067,0.5727,0.9474
20,22.00,0.578148,18.14,5.2926,0.857975,0.6471,0.8800
21,114.00,2.995857,60.67,12.0478,1.953060,0.9844,0.6064
22,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
23,45.00,1.182575,30.87,7.5694,1.227070,0.9105,0.8036
24,124.00,3.258652,71.64,12.5651,2.036920,0.4533,0.5767
27,50.00,1.313972,31.80,7.9788,1.293446,0.9400,0.8333
28,41.00,1.077457,25.21,7.2252,1.171265,0.9218,0.9535
30,58.00,1.524208,39.87,8.5935,1.393084,0.8980,0.6667
31,145.00,3.810520,71.95,13.5875,2.202659,0.9077,0.6532
32,76.00,1.997238,34.63,9.8370,1.594667,0.7744,0.9268
34,66.00,1.734444,37.11,9.1670,1.486056,0.8735,0.8148
35,15.00,0.394192,13.07,4.3702,0.708449,0.7712,1.0000
36,118.00,3.100975,51.60,12.2573,1.987029,0.8102,0.7662
37,18.00,0.473030,14.49,4.7873,0.776067,0.8051,1.0000
38,18.00,0.473030,13.66,4.7873,0.776067,0.7490,1.0000
39,35.00,0.919781,24.38,6.6756,1.082174,0.8414,0.8537
40,49.00,1.287693,26.38,7.8987,1.280446,0.8216,0.9245
41,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
42,168.00,4.414948,85.37,14.6255,2.370925,0.9616,0.5638
43,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
44,45.00,1.182575,25.21,7.5694,1.227070,0.6358,0.9184
45,212.00,5.571243,88.02,16.4294,2.663368,0.6763,0.7090
