ID,Area_px2,Diametro_px,Diametro_um,Eccentricity,Solidity
1,229.00,17.0755,7.691656,0.9283,0.8876
2,333.00,20.5910,9.275220,0.8255,0.7929
3,4922.00,79.1637,35.659306,0.6638,0.5126
4,140.00,13.3512,6.014037,0.8606,0.9211
5,11845.00,122.8069,55.318401,0.7889,0.4212
6,50.00,7.9788,3.594075,0.8195,1.0000
7,1446.00,42.9081,19.327969,0.7196,0.5564
8,418.00,23.0698,10.391787,0.8009,0.7097
9,32.00,6.3831,2.875260,0.5595,0.9143
10,129.00,12.8159,5.772939,0.7420,0.8377
11,135.00,13.1106,5.905667,0.8521,0.7670
12,106.00,11.6174,5.233052,0.6901,0.7310
13,334.00,20.6219,9.289136,0.8581,0.5829
14,92.00,10.8230,4.875240,0.5762,0.8440
15,270.00,18.5412,8.351875,0.6340,0.9441
16,510.00,25.4824,11.478554,0.7652,0.7727
17,31.00,6.2825,2.829977,0.2410,1.0000
18,229.00,17.0755,7.691656,0.9494,0.6638
19,2980.00,61.5975,27.746628,0.9273,0.3984
20,252.00,17.9125,8.068677,0.8911,0.8428
21,116.00,12.1530,5.474331,0.7888,0.8529
22,259.00,18.1595,8.179975,0.8498,0.7872
23,1335.00,41.2283,18.571318,0.5059,0.5889
24,42.00,7.3127,3.294024,0.8605,0.7778
25,2057.00,51.1767,23.052564,0.7277,0.4766
26,616.00,28.0056,12.615151,0.8974,0.5912
27,70.00,9.4407,4.252566,0.8508,0.9722
28,321.00,20.2166,9.106565,0.7517,0.6591
29,1586.00,44.9373,20.242012,0.9468,0.4783
30,36.00,6.7703,3.049673,0.7080,1.0000
31,71.00,9.5079,4.282834,0.9063,0.6961
32,62.00,8.8849,4.002192,0.7666,0.9394
33,91.00,10.7641,4.848672,0.8732,0.8505
34,36.00,6.7703,3.049673,0.8104,0.9231
35,215.00,16.5453,7.452832,0.9550,0.8566
36,62.00,8.8849,4.002192,0.7098,0.8267
37,17742.00,150.2991,67.702292,0.7682,0.3607
38,67.00,9.2362,4.160442,0.4774,0.9710
39,4897.00,78.9624,35.568630,0.8889,0.3936
40,179.00,15.0967,6.800308,0.7105,0.9521
41,31.00,6.2825,2.829977,0.6792,0.9394
42,739.00,30.6745,13.817336,0.6185,0.5633
43,302.00,19.6091,8.832946,0.8999,0.9124
44,536.00,26.1239,11.767507,0.9678,0.7214
45,180.00,15.1388,6.819277,0.9461,0.7347
46,99.00,11.2272,5.057311,0.9006,0.9083
47,154.00,14.0028,6.307575,0.8167,0.9222
48,3663.00,68.2926,30.762423,0.9668,0.6134
49,79.00,10.0293,4.517682,0.9200,0.8876
50,62.00,8.8849,4.002192,0.8554,0.9254
51,76.00,9.8370,4.431073,0.5946,0.9383
